link_text,href,link_type,section_title
¶,#smart-quotes,internal_anchor,Smart quotes ¶
¶,#inconsistent-encodings,internal_anchor,Inconsistent encodings ¶
¶,#line-numbers,internal_anchor,Line numbers ¶
Tag,#Tag,internal_anchor,Line numbers ¶
¶,#comparing-objects-for-equality,internal_anchor,Comparing objects for equality ¶
NavigableString,#NavigableString,internal_anchor,Comparing objects for equality ¶
Tag,#Tag,internal_anchor,Comparing objects for equality ¶
¶,#copying-beautiful-soup-objects,internal_anchor,Copying Beautiful Soup objects ¶
Tag,#Tag,internal_anchor,Copying Beautiful Soup objects ¶
NavigableString,#NavigableString,internal_anchor,Copying Beautiful Soup objects ¶
Tag,#Tag,internal_anchor,Copying Beautiful Soup objects ¶
Tag,#Tag,internal_anchor,Copying Beautiful Soup objects ¶
¶,#low-level-search-interface,internal_anchor,Low-level search interface ¶
Searching the tree,#searching-the-tree,internal_anchor,Low-level search interface ¶
¶,#custom-element-filtering,internal_anchor,Custom element filtering ¶
¶,#ElementFilter,internal_anchor,Custom element filtering ¶
ElementFilter,#ElementFilter,internal_anchor,Custom element filtering ¶
Tag,#Tag,internal_anchor,Custom element filtering ¶
NavigableString,#NavigableString,internal_anchor,Custom element filtering ¶
ElementFilter,#ElementFilter,internal_anchor,Custom element filtering ¶
ElementFilter,#ElementFilter,internal_anchor,Custom element filtering ¶
Searching the tree,#searching-the-tree,internal_anchor,Custom element filtering ¶
Tag,#Tag,internal_anchor,Custom element filtering ¶
NavigableString,#NavigableString,internal_anchor,Custom element filtering ¶
ElementFilter,#ElementFilter,internal_anchor,Custom element filtering ¶
Tag,#Tag,internal_anchor,Custom element filtering ¶
NavigableString,#NavigableString,internal_anchor,Custom element filtering ¶
¶,#custom-element-iteration,internal_anchor,Custom element iteration ¶
¶,#ElementFilter.filter,internal_anchor,Custom element iteration ¶
ElementFilter,#ElementFilter,internal_anchor,Custom element iteration ¶
ElementFilter.filter(),#ElementFilter.filter,internal_anchor,Custom element iteration ¶
ElementFilter.filter(),#ElementFilter.filter,internal_anchor,Custom element iteration ¶
ElementFilter.filter(),#ElementFilter.filter,internal_anchor,Custom element iteration ¶
¶,#advanced-parser-customization,internal_anchor,Advanced parser customization ¶
¶,#parsing-only-part-of-a-document,internal_anchor,Parsing only part of a document ¶
SoupStrainer,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
SoupStrainer,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
¶,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
SoupStrainer,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
Searching the tree,#searching-the-tree,internal_anchor,Parsing only part of a document ¶
name,#name,internal_anchor,Parsing only part of a document ¶
attrs,#attrs,internal_anchor,Parsing only part of a document ¶
string,#id11,internal_anchor,Parsing only part of a document ¶
**kwargs,#kwargs,internal_anchor,Parsing only part of a document ¶
SoupStrainer,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
SoupStrainer,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
SoupStrainer,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
SoupStrainer,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
SoupStrainer,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
SoupStrainer,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
SoupStrainer,#SoupStrainer,internal_anchor,Parsing only part of a document ¶
Tag,#Tag,internal_anchor,Parsing only part of a document ¶
class,https://docs.python.org/3/glossary.html#term-class,external_link,Parsing only part of a document ¶
¶,#customizing-multi-valued-attributes,internal_anchor,Customizing multi-valued attributes ¶
¶,#handling-duplicate-attributes,internal_anchor,Handling duplicate attributes ¶
¶,#instantiating-custom-subclasses,internal_anchor,Instantiating custom subclasses ¶
Tag,#Tag,internal_anchor,Instantiating custom subclasses ¶
NavigableString,#NavigableString,internal_anchor,Instantiating custom subclasses ¶
Tag,#Tag,internal_anchor,Instantiating custom subclasses ¶
NavigableString,#NavigableString,internal_anchor,Instantiating custom subclasses ¶
¶,#troubleshooting,internal_anchor,Troubleshooting ¶
¶,#diagnose,internal_anchor,diagnose() ¶
¶,#errors-when-parsing-a-document,internal_anchor,Errors when parsing a document ¶
Installing a parser,#installing-a-parser,internal_anchor,Errors when parsing a document ¶
¶,#version-mismatch-problems,internal_anchor,Version mismatch problems ¶
¶,#parsing-xml,internal_anchor,Parsing XML ¶
have lxml installed,#parser-installation,internal_anchor,Parsing XML ¶
¶,#other-parser-problems,internal_anchor,Other parser problems ¶
Differences between parsers,#differences-between-parsers,internal_anchor,Other parser problems ¶
HTML tags and attributes are case-insensitive,http://www.w3.org/TR/html5/syntax.html#syntax,external_link,Other parser problems ¶
parse the document as XML.,#parsing-xml,internal_anchor,Other parser problems ¶
¶,#miscellaneous,internal_anchor,Miscellaneous ¶
"this page on the
Python wiki",http://wiki.python.org/moin/PrintFails,external_link,Miscellaneous ¶
¶,#improving-performance,internal_anchor,Improving Performance ¶
lxml,http://lxml.de/,external_link,Improving Performance ¶
start,#parser-installation,internal_anchor,Improving Performance ¶
cchardet,http://pypi.python.org/pypi/cchardet/,external_link,Improving Performance ¶
Parsing only part of a document,#parsing-only-part-of-a-document,internal_anchor,Improving Performance ¶
¶,#translating-this-documentation,internal_anchor,Translating this documentation ¶
¶,#id16,internal_anchor,Beautiful Soup 3 ¶
"a tarball of the final release, 3.2.2",https://www.crummy.com/software/BeautifulSoup/download/3.x/BeautifulSoup-3.2.2.tar.gz,external_link,Beautiful Soup 3 ¶
The documentation for Beautiful Soup 3 is archived online,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,external_link,Beautiful Soup 3 ¶
¶,#porting-code-to-bs4,internal_anchor,Porting code to BS4 ¶
PEP 8 compliance,http://www.python.org/dev/peps/pep-0008/,external_link,Porting code to BS4 ¶
¶,#you-need-a-parser,internal_anchor,You need a parser ¶
Installing a parser,#installing-a-parser,internal_anchor,You need a parser ¶
¶,#property-names,internal_anchor,Property names ¶
¶,#generators,internal_anchor,Generators ¶
¶,#xml,internal_anchor,XML ¶
¶,#entities,internal_anchor,Entities ¶
"Unicode,
Dammit",#unicode-dammit,internal_anchor,Entities ¶
output formatter,#output-formatters,internal_anchor,Entities ¶
¶,#id17,internal_anchor,Miscellaneous ¶
Tag.string,#string,internal_anchor,Miscellaneous ¶
Multi-valued attributes,#multi-valued-attributes,internal_anchor,Miscellaneous ¶
Tag,#Tag,internal_anchor,Miscellaneous ¶
Tag,#Tag,internal_anchor,Miscellaneous ¶
Tag,#Tag,internal_anchor,Miscellaneous ¶
string,#id11,internal_anchor,Miscellaneous ¶
name,#name,internal_anchor,Miscellaneous ¶
Tag.string,#string,internal_anchor,Miscellaneous ¶
string,#id11,internal_anchor,Miscellaneous ¶
Table of Contents,#,internal_anchor,
Beautiful Soup Documentation,#,internal_anchor,
Getting help,#getting-help,internal_anchor,
API documentation,#api-documentation,internal_anchor,
Quick Start,#quick-start,internal_anchor,
Installing Beautiful Soup,#installing-beautiful-soup,internal_anchor,
Installing a parser,#installing-a-parser,internal_anchor,
Making the soup,#making-the-soup,internal_anchor,
Kinds of objects,#kinds-of-objects,internal_anchor,
Tag,#Tag,internal_anchor,
Tag.name,#Tag.name,internal_anchor,
Tag.attrs,#Tag.attrs,internal_anchor,
NavigableString,#NavigableString,internal_anchor,
Special strings,#special-strings,internal_anchor,
Comment,#Comment,internal_anchor,
For HTML documents,#for-html-documents,internal_anchor,
Stylesheet,#Stylesheet,internal_anchor,
Script,#Script,internal_anchor,
Template,#Template,internal_anchor,
For XML documents,#for-xml-documents,internal_anchor,
Declaration,#Declaration,internal_anchor,
Doctype,#Doctype,internal_anchor,
CData,#CData,internal_anchor,
ProcessingInstruction,#ProcessingInstruction,internal_anchor,
Navigating the tree,#navigating-the-tree,internal_anchor,
Going down,#going-down,internal_anchor,
Navigating using tag names,#navigating-using-tag-names,internal_anchor,
.contents and .children,#contents-and-children,internal_anchor,
.descendants,#descendants,internal_anchor,
.string,#string,internal_anchor,
.strings and stripped_strings,#strings-and-stripped-strings,internal_anchor,
Going up,#going-up,internal_anchor,
.parent,#parent,internal_anchor,
.parents,#parents,internal_anchor,
.self_and_parents,#self-and-parents,internal_anchor,
Going sideways,#going-sideways,internal_anchor,
.next_sibling and .previous_sibling,#next-sibling-and-previous-sibling,internal_anchor,
.next_siblings and .previous_siblings,#next-siblings-and-previous-siblings,internal_anchor,
Going back and forth,#going-back-and-forth,internal_anchor,
.next_element and .previous_element,#next-element-and-previous-element,internal_anchor,
.next_elements and .previous_elements,#next-elements-and-previous-elements,internal_anchor,
